ENTRY,USCPI,CANEX,CANCPI,JAPANEX,JAPANCPI,SWEX,SWCPI
1998:10:00,410.777,1.545,449.013,105.965,307.353,1.337,258.802
1998:11:00,411.278,1.54,449.013,104.649,307.059,1.385,258.382
1998:12:00,412.03,1.543,447.542,102.584,305.882,1.36,258.327
1999:01:00,412.782,1.519,448.523,105.296,304.412,1.386,258.856
1999:02:00,412.782,1.498,449.013,109.388,303.235,1.427,259.731
1999:03:00,413.033,1.518,450.974,106.307,303.529,1.466,260.002
1999:04:00,415.789,1.488,453.425,105.627,305,1.497,260.436
1999:05:00,416.04,1.461,454.405,108.321,305,1.508,259.852
1999:06:00,416.04,1.47,455.385,106.126,304.118,1.537,260.157
1999:07:00,417.794,1.489,456.366,108.212,302.941,1.547,260.223
1999:08:00,418.797,1.493,457.346,108.08,303.824,1.509,261.51
1999:09:00,420.551,1.477,458.817,106.838,304.706,1.526,262.004
1999:10:00,421.303,1.478,459.307,108.443,305.294,1.49,262.002
1999:11:00,422.055,1.467,458.817,109.01,303.529,1.554,261.752
1999:12:00,423.058,1.472,459.307,112.209,302.647,1.584,262.636
2000:01:00,424.311,1.449,458.327,116.672,302.353,1.59,262.96
2000:02:00,426.065,1.451,461.268,116.234,301.471,1.635,263.948
2000:03:00,428.571,1.461,464.699,121.505,302.059,1.664,263.858
2000:04:00,428.321,1.469,463.228,123.771,302.647,1.666,264.088
2000:05:00,429.073,1.496,465.189,121.768,302.941,1.719,263.959
2000:06:00,431.579,1.477,468.13,122.351,302.353,1.642,264.941
2000:07:00,432.832,1.478,469.601,124.498,301.471,1.652,265.138
2000:08:00,432.832,1.483,469.111,121.367,302.353,1.715,264.452
2000:09:00,435.088,1.486,471.071,118.612,302.059,1.759,265.777
2000:10:00,435.84,1.513,472.052,121.454,302.059,1.775,265.492
2000:11:00,436.591,1.543,473.522,122.406,301.176,1.778,266.758
2000:12:00,437.594,1.522,474.013,127.595,301.471,1.686,266.558
2001:01:00,440.1,1.503,472.052,132.683,301.471,1.631,266.367
2001:02:00,441.103,1.522,474.503,133.643,300.294,1.669,266.006
2001:03:00,441.353,1.559,475.973,131.061,299.706,1.691,266.433
2001:04:00,442.105,1.558,479.405,130.772,300.294,1.713,267.169
2001:05:00,444.361,1.541,483.326,126.375,300.588,1.753,268.62
2001:06:00,445.363,1.525,483.816,123.29,299.706,1.786,269.129
2001:07:00,444.612,1.531,482.346,117.899,298.824,1.757,268.721
2001:08:00,444.612,1.54,482.346,118.993,300,1.681,267.231
2001:09:00,446.366,1.568,483.326,121.078,299.412,1.634,267.571
2001:10:00,445.113,1.572,480.875,123.908,299.412,1.636,267.166
2001:11:00,444.862,1.592,476.464,121.608,297.941,1.651,267.523
2001:12:00,444.612,1.579,477.444,121.893,297.647,1.657,267.425
2002:01:00,445.363,1.6,478.424,118.813,297.059,1.671,267.755
2002:02:00,446.115,1.596,481.365,119.338,295.588,1.697,267.747
2002:03:00,447.368,1.588,484.797,118.687,296.176,1.674,267.79
2002:04:00,449.373,1.581,487.738,119.895,297.059,1.654,270.101
2002:05:00,449.875,1.55,488.718,117.368,297.941,1.589,270.36
2002:06:00,450.125,1.532,489.699,118.329,297.647,1.54,270.005
2002:07:00,451.128,1.546,492.64,118.696,296.471,1.472,268.583
2002:08:00,452.381,1.569,494.601,118.662,297.353,1.497,268.494
2002:09:00,453.133,1.576,494.601,114.8,297.353,1.493,268.9
2002:10:00,454.135,1.578,496.071,109.496,296.765,1.493,270.471
2002:11:00,454.887,1.571,497.542,109.178,296.765,1.466,269.972
2002:12:00,455.639,1.559,495.581,107.738,296.765,1.439,269.807
2003:01:00,457.644,1.541,499.993,106.269,295.882,1.377,270.023
2003:02:00,460.15,1.512,503.914,106.708,295,1.36,270.289
2003:03:00,460.902,1.476,505.385,108.516,295.882,1.361,271.376
2003:04:00,459.148,1.458,501.953,107.656,296.765,1.378,271.916
2003:05:00,458.396,1.384,502.444,112.196,297.353,1.311,271.48
2003:06:00,458.897,1.353,502.444,109.434,296.471,1.32,271.486
2003:07:00,460.401,1.382,502.934,109.487,295.882,1.361,269.309
2003:08:00,462.406,1.396,504.404,110.234,296.471,1.381,269.936
2003:09:00,463.91,1.363,505.385,110.091,296.765,1.374,270.327
2003:10:00,463.409,1.322,503.914,108.784,296.765,1.322,271.698
2003:11:00,463.659,1.313,505.385,104.699,295.294,1.332,271.357
2003:12:00,464.912,1.313,505.875,103.81,295.588,1.264,271.409
2004:01:00,466.917,1.296,506.365,103.341,295,1.239,270.488
2004:02:00,467.92,1.33,507.345,104.944,295,1.245,270.534
2004:03:00,468.922,1.329,509.306,105.254,295.588,1.278,271.113
2004:04:00,469.674,1.342,510.287,107.194,295.588,1.297,273.4
2004:05:00,471.679,1.379,514.698,106.595,295.882,1.284,274.032
2004:06:00,473.434,1.358,515.188,108.747,296.471,1.25,274.505
2004:07:00,473.935,1.323,514.698,111.954,295.588,1.245,271.631
2004:08:00,474.185,1.313,513.718,110.607,295.882,1.262,272.638
2004:09:00,475.689,1.288,514.698,111.239,296.765,1.263,272.654
2004:10:00,478.195,1.247,515.679,114.87,298.235,1.233,275.21
2004:11:00,480.451,1.197,517.639,118.454,297.647,1.171,275.474
2004:12:00,480.451,1.219,516.659,118.462,296.176,1.147,275.024
2005:01:00,480.201,1.225,516.169,115.477,295.588,1.179,273.747
2005:02:00,482.206,1.24,518.13,117.861,294.706,1.192,274.349
2005:03:00,483.96,1.216,521.071,117.278,295.588,1.176,275.02
2005:04:00,485.464,1.236,522.541,117.07,295.882,1.195,277.271
2005:05:00,485.213,1.256,523.031,111.731,296.176,1.217,276.996
2005:06:00,485.464,1.24,524.012,114.625,295,1.267,276.373
2005:07:00,488.471,1.223,524.992,115.767,294.706,1.295,274.861
2005:08:00,491.479,1.204,526.953,115.924,295,1.263,275.257
2005:09:00,498.246,1.178,531.365,117.215,295.882,1.267,276.462
2005:10:00,498.997,1.177,528.914,118.609,295.882,1.288,278.88
2005:11:00,496.491,1.182,527.933,117.321,294.706,1.311,278.095
2005:12:00,496.491,1.162,527.443,117.322,295,1.305,277.792
2006:01:00,499.499,1.157,530.384,120.447,295.294,1.277,277.281
2006:02:00,499.749,1.149,529.404,120.505,294.412,1.305,278.145
2006:03:00,500.501,1.157,532.345,117.26,295,1.305,277.849
2006:04:00,503.008,1.144,535.286,118.932,295.588,1.283,280.208
2006:05:00,504.511,1.11,537.737,120.773,296.471,1.219,280.769
2006:06:00,505.764,1.114,536.757,122.689,296.471,1.232,280.691
2006:07:00,508.521,1.129,537.247,121.415,295.588,1.238,278.777
